stratum	count	area	K	zcount
1	165018726685	93169656.94	57317.40442	101000691578
2	118329219	74454.62912	47.69218909	80310832
3	1512570320	945884.1516	605.8300579	1021478690
4	766420505	497986.6704	329.6483825	536482449
5	60262923	37888.07081	24.46118685	40538962
6	458641259	269741.7215	169.6476625	291580248
7	15429636048	8582189.569	5197.285872	9224841771
8	2665680943	1693439.032	1132.874635	1825038521
9	490579015	257492.2672	147.429244	278010617
10	97694379	54461.3793	33.04706008	59206873
11	1306462291	758837.9962	473.5162456	819623229
12	507263225	326001.9484	219.7531813	351582877
13	160454155	102450.4869	68.49385493	110831359
14	1416000743	829647.1558	497.2864384	901477147
15	3167501236	1946965.381	1231.74786	2112664094
16	3525434609	2193464.865	1398.410688	2388467321
17	777629423	462649.206	282.9444601	503030455
18	256296676	147935.4444	93.16281107	160451139
19	4306692147	1668123.445	745.6044697	1776014065
20	1275938794	691849.6876	416.9710947	748342406
21	255251110	139372.6461	84.27764141	150908124
22	715615873	441738.5206	287.7615688	477420143
23	9844070754	5024591.002	2869.01303	5381010373
24	5175726099	3334915.468	2245.0331	3595229581
25	698698212	420662.1108	271.1205239	453471406
26	3515414520	2287105.473	1526.761146	2471434284
27	4053315371	2197102.5	1305.589787	2365087980
28	3051105974	2006172.004	1351.392442	2178482879
29	79019786	53777.71421	37.45603007	58347183
30	1899412403	1150138.919	737.7933864	1274429505
31	703699627	244493.0133	111.0981462	302922739
32	137592969	51332.64218	25.17668312	60084867
33	16191997	7011.721575	3.878268593	8581254
